#{"t_start": 1643291651.848132, "env_id": "threecarlanechangeScenario-v0"}
r,l,t
-723.942261,145,370.358923
-541.998187,22,370.587796
-553.060481,183,372.16837
-1437.080961,200,373.947898
71.217984,185,375.618878
-732.285645,200,378.065807
-671.769564,200,381.667803
-919.483906,161,384.108993
223.244625,151,386.08471
-628.394952,200,388.598055
-938.203885,200,391.157567
-575.836415,200,393.717407
-697.369979,200,396.322939
-693.267465,200,402.04796
-902.313525,200,406.612526
-352.689922,200,410.639534
-660.628888,164,414.212
-781.281114,200,417.496271
-246.373395,159,419.655618
-836.008952,200,422.339947
-500,1,422.352913
-467.48665,175,424.605492
-632.198422,200,427.149296
280.660467,128,428.877648
-769.050535,200,431.616406
-825.523677,200,434.202166
-499.065321,200,436.914986
-521.71613,16,437.087892
-643.613509,200,439.408817
-568.188926,200,442.45336
197.575234,174,445.462361
-673.064324,200,447.995029
-500,1,448.007996
-382.731814,155,450.031685
-704.005823,200,452.743703
-649.580041,200,455.490013
30.286445,194,458.215199
-759.754047,200,460.89647
-246.229423,161,463.058758
-849.972779,132,464.763573
-92.505976,186,467.053543
-718.220387,123,468.463398
-848.735844,133,470.257597
-337.142924,163,472.420305
-828.71851,117,474.558251
-297.731329,188,478.840681
-93.553779,190,482.2346
-614.788663,51,483.15088
-361.984436,158,486.141954
51.01887,178,489.424789
-627.312933,200,493.398683
-636.023345,200,496.675683
159.476329,173,499.243386
-521.839053,9,499.349998
71.316581,181,501.858261
117.676611,145,503.769912
-782.403923,200,506.370035
-276.860147,165,508.486051
-800.458115,200,511.591936
-705.486616,200,514.129494
-726.101342,198,516.733032
-537.056108,172,518.902489
-417.655373,185,521.338912
-981.277377,131,522.979229
-535.249804,144,524.818129
-802.890184,134,526.541311
-464.830644,177,528.883178
-475.037213,177,531.087911
-903.737979,101,532.370584
-383.577355,157,534.393315
-745.801628,200,536.932818
32.50394,167,539.431748
-679.927055,200,542.462468
158.01436,145,544.399477
-419.407246,199,546.977263
-400.824463,200,549.760452
-576.702002,168,552.08828
-319.942632,160,554.139814
-384.8593,183,556.406698
-526.498476,12,556.543631
-986.665045,200,558.751346
-410.470644,184,561.141789
194.260421,165,563.237219
-687.076981,41,563.754973
-825.62793,128,565.419801
-500,1,565.431768
-521.931126,200,568.003688
-925.032769,146,569.885525
-805.069264,93,571.101346
-569.807442,200,574.025308
-599.014779,24,574.319149
-452.888999,192,576.760844
