#{"t_start": 1644439660.110739, "env_id": "circularroadScenario-v0"}
r,l,t
1592.54687,186,312.726749
61.655061,38,312.971187
5599.10151,296,314.794243
573.382111,300,316.62715
953.926242,300,318.577759
1457.579718,300,320.73766
-13.167025,64,321.133286
1758.124898,300,322.949715
33.906009,25,323.108408
2147.707136,300,325.02273
6624.249574,191,326.550644
160.748761,86,327.216863
1227.999073,158,328.401725
-242.986863,12,328.476529
2290.557012,176,329.573507
7789.050697,150,330.490235
1962.552436,300,332.338525
2300.575528,300,334.15806
672.756627,66,334.567063
2082.868996,300,336.491321
1596.071551,145,337.403884
10.870135,59,337.770533
6880.151255,205,339.034061
825.504021,300,340.862576
7802.046146,138,341.716682
1178.903842,91,342.274446
2166.003726,300,344.11467
1686.902791,202,345.355166
1719.569261,300,347.194019
-334.922891,300,349.02595
-146.683857,50,349.331601
5000,1,349.343569
-220.183765,13,349.430803
829.718948,300,351.283453
-216.715968,11,351.476936
788.053534,300,353.470212
1985.399991,300,355.310506
1404.742224,213,356.596131
698.22076,66,357.003206
6453.231955,254,358.565872
7588.113653,118,359.301489
1529.28819,187,360.45514
670.250171,130,361.245068
1439.059965,112,361.937288
-260.861452,20,362.067454
-281.685355,300,363.917798
1707.143817,300,365.75645
1810.180702,203,366.999655
1519.343104,134,367.822434
1319.74813,245,369.349214
1473.03953,300,371.176306
234.224286,300,373.023747
-283.175878,18,373.142045
1590.120715,119,373.870742
1704.075218,300,375.729844
5839.435371,26,375.898411
-229.445584,12,375.981625
1498.601009,300,377.822129
-527.291345,98,378.421194
324.183381,138,379.263832
1267.970348,262,380.888738
7134.44048,200,382.119978
853.363216,300,384.276156
1279.695619,300,386.438938
1216.884227,220,388.126428
696.585281,91,388.768711
-349.462263,7,388.813589
6466.778217,57,389.178837
6235.879665,52,389.500445
1641.341397,137,390.339437
331.224252,75,390.799093
54.263768,24,390.95008
-222.919635,13,391.034588
322.951498,36,391.260313
300.748525,94,391.83447
826.812711,300,393.651443
1460.582063,164,394.660039
-1934.513482,300,396.479792
-3591.876935,300,398.298944
1449.472321,195,399.483468
-318.617107,8,399.538097
988.928757,300,401.365746
211.505037,300,403.197027
660.389226,300,405.013971
-150.066185,300,406.840841
1674.038954,179,407.922921
-228.221401,13,408.002709
881.777497,300,409.856809
698.372261,88,410.429957
1747.902444,151,411.369223
1617.71545,187,412.490192
6077.975918,255,414.370434
5650.454253,68,414.791616
-260.267607,300,416.615239
111.141921,300,418.446743
-2013.852205,300,420.284637
402.995359,300,422.118372
1071.358649,300,423.950123
862.453584,300,425.805452
6417.467744,58,426.161618
-2316.060407,300,428.002119
6057.425298,206,429.262527
-205.285055,13,429.347222
-151.424061,13,429.430653
1836.217441,150,430.382506
-242.811568,16,430.482243
5519.406507,296,432.315932
6569.487581,212,433.63904
321.651586,96,434.22818
-109.698752,26,434.395019
-282.964648,10,434.457994
6471.3665,74,434.91842
-155.193664,22,435.059528
-349.66083,15,435.15359
1403.772161,300,437.004094
1444.096069,109,437.672776
919.058785,93,438.239154
6032.690974,266,439.870624
1832.180069,118,440.600653
1382.356719,100,441.21753
7041.741767,95,441.806667
1493.833232,300,443.662994
1976.854094,300,445.913887
1826.886678,300,448.387272
1724.776331,135,449.250248
-195.458387,23,449.409686
-304.347241,9,449.466136
1685.879171,179,450.548323
2432.568399,239,451.998206
242.908666,70,452.429827
-220.769539,38,452.668961
-386.3861,34,452.877147
-167.873989,15,452.975916
-326.225562,6,453.01478
-222.440277,14,453.102578
1807.090714,296,454.900926
-136.506953,17,455.007638
-259.160209,11,455.076489
7102.059756,104,455.695831
7137.36345,95,456.28465
-399.85957,4,456.314594
1042.398076,123,457.078718
-36.984081,32,457.281785
561.804631,83,457.789566
1875.595436,300,459.625295
-188.329201,15,459.72068
673.260815,300,461.561991
1975.208014,300,463.401079
6922.201194,169,464.441434
7291.364225,181,465.542784
5000,1,465.55293
1274.131132,101,466.1743
7534.105014,172,467.217118
-264.5478,9,467.275539
300.796023,69,467.706319
-307.208759,8,467.758881
1453.999302,300,469.60731
7705.612081,165,470.622432
19.612235,69,471.044067
7274.450333,125,471.805617
371.132422,77,472.279349
1778.347411,300,474.287684
1962.620404,300,476.294325
1583.502756,300,478.397193
6951.596035,166,479.421316
1915.351571,300,481.278314
7169.395809,183,482.424026
-28.196634,33,482.631957
1791.246682,300,484.487612
1662.839882,300,486.315112
7489.904629,141,487.17705
-4558.880526,300,489.034577
1747.50872,114,489.732675
6572.214797,84,490.252686
2321.41077,221,491.60375
5214.444794,8,491.657214
593.881974,300,493.505108
312.500127,248,495.035172
5264.490989,32,495.231887
1865.841094,235,496.668886
7490.249856,130,497.47207
1302.793949,205,498.71882
-220.431494,18,498.833032
1650.894423,103,499.475017
6959.604792,191,500.66299
-13.496731,40,500.911582
1625.266162,258,502.461574
-356.605551,6,502.502812
1435.618239,117,503.219082
1131.016144,72,503.650956
-368.349188,34,503.857782
-248.082591,11,503.928674
6755.512124,75,504.39965
2027.251151,163,505.487704
-307.388152,8,505.552529
5991.754173,46,505.961438
2192.22766,133,507.000658
-262.584041,9,507.07147
-399.947083,27,507.267945
903.745574,223,509.223714
-258.419758,11,509.294527
2027.356769,148,510.194617
2042.707648,144,511.082095
1909.064434,115,511.793998
-72.424244,44,512.06917
7086.711246,102,512.698876
-268.032457,9,512.756358
-341.722393,8,512.809427
-343.840073,129,513.604447
1873.506641,188,514.759911
1418.322146,290,516.521336
5376.540082,26,516.688074
6052.640979,46,516.976881
7350.94575,242,518.462413
431.112498,82,518.972214
6757.130871,200,520.206401
-51.756524,37,520.44336
-922.143671,180,521.536932
1457.93241,117,522.258195
-131.448734,17,522.366572
-175.167171,14,522.458783
2439.201906,183,523.576462
-447.255457,97,524.161224
1917.445655,213,525.460454
-257.19225,9,525.517276
1958.823075,126,526.290423
-195.693134,14,526.380552
-92.427923,32,526.579754
199.536039,24,526.726851
7165.022307,87,527.251098
1755.787988,300,529.133148
1476.852846,274,530.791264
5968.774455,41,531.048306
675.932661,42,531.309917
7148.631619,90,531.859846
-79.744586,45,532.129767
2207.310305,300,533.965054
-143.134945,50,534.27024
1901.841782,300,536.106027
-141.384088,40,536.361621
1.591042,51,536.686439
55.663838,42,536.951613
-65.758484,29,537.130949
2207.966542,231,538.560804
-182.178099,29,538.750834
7036.909372,87,539.278265
-270.115022,9,539.335142
7643.232955,234,541.074275
-26.510724,25,541.228862
187.668995,39,541.487471
2321.704149,175,542.537925
1432.692634,218,543.879454
1204.665253,92,544.476112
1943.911442,300,546.574467
7567.671514,258,548.160433
1743.680964,221,549.523613
2129.610684,220,550.880466
-30.292256,25,551.039367
2099.738202,176,552.108073
7684.542374,246,553.642623
130.261237,45,553.924209
-379.545489,16,554.023896
171.172708,30,554.211089
25.579239,29,554.389536
189.042333,36,554.621911
7200.977387,98,555.225617
-40.757264,50,555.539173
1625.91182,100,556.149716
1850.127343,300,557.996421
733.53309,77,558.477936
7682.924465,158,559.451802
-91.482181,18,559.566242
1671.495629,109,560.370043
7359.742601,160,561.38431
-144.679788,15,561.479027
375.864184,35,561.694351
-291.888393,8,561.750233
2176.38522,300,563.586201
7892.234477,211,564.904812
7618.902443,151,566.061717
2401.156421,300,568.253857
-340.865378,22,568.407448
2196.32185,174,569.472053
1578.894671,112,570.164962
7940.98461,161,571.164567
-487.988694,32,571.363688
7603.31124,151,572.288201
1567.727883,297,574.108518
1614.025791,280,575.824728
7997.220153,233,577.241469
-353.173266,15,577.338127
-332.584574,26,577.497447
2044.022978,150,578.413967
1544.80441,300,580.56703
5570.271748,39,580.809404
2382.154978,300,582.621664
2306.431779,164,583.610544
2124.237466,300,585.424927
2207.682968,261,587.017791
2230.544497,300,588.882078
5757.588304,33,589.095472
1533.286317,90,589.625744
1398.620972,150,590.623605
1764.925603,300,592.794885
93.018675,26,592.954463
7150.216607,103,593.554858
-300.656687,31,593.739334
7419.074064,170,594.948184
-334.62021,7,594.996551
1200.894722,106,595.639371
6364.474315,107,596.271854
1876.826666,300,598.079731
-215.096379,17,598.186689
1742.37642,275,599.834224
-162.406848,17,599.937915
-447.981068,26,600.094848
1156.17329,113,600.804546
5614.758444,44,601.06987
2093.139272,300,602.853607
1833.971412,114,603.527398
863.063856,105,604.165831
1498.368975,228,605.522326
-169.236972,11,605.590145
-238.625862,11,605.660259
1570.970014,94,606.229153
-3.320122,45,606.499423
215.909329,31,606.687473
-404.238123,5,606.720155
1595.808185,101,607.337023
5516.058213,30,607.528705
-158.035599,27,607.689996
357.734907,75,608.132699
1385.162186,101,608.744828
1935.828537,260,610.347992
1702.47717,261,612.159117
1602.380442,180,613.241102
7529.722192,141,614.084695
1354.35755,83,614.590338
2064.854544,151,615.490482
1289.151844,76,615.952222
806.158371,83,616.45375
-267.808391,12,616.527185
7286.676718,294,618.301957
1813.115834,155,619.234953
2033.795178,264,620.82562
132.414765,50,621.131593
2008.297712,136,621.946968
1438.761218,91,622.490124
28.577326,22,622.62989
207.17673,57,622.992401
-209.914031,12,623.07418
459.845793,300,624.853426
1812.932945,300,627.084361
1708.874073,300,629.12494
1954.5944,300,630.939092
2375.224858,300,632.755147
7886.185848,213,634.065419
585.82354,66,634.469728
6252.810233,253,636.240102
552.626694,67,636.652545
2277.40992,300,638.429317
2362.899449,300,640.251856
681.655059,96,640.832231
2297.575909,300,642.650135
2616.936758,300,644.433048
6343.382139,64,644.823893
183.630178,31,645.013244
608.354912,80,645.502675
2330.148061,300,647.29414
-231.394081,10,647.359231
631.711796,74,647.814057
7127.856085,160,648.775483
-129.743035,15,648.86836
402.168189,51,649.211499
-193.80772,12,649.319211
394.779319,61,649.837823
1691.816317,89,650.37168
43.972471,24,650.515133
219.481219,52,650.975482
716.746021,75,651.434992
2452.339922,300,653.27599
2490.123513,300,655.105176
6908.363355,75,655.554385
2099.692587,300,657.363268
7848.611213,217,658.667666
7150.190487,128,659.437245
172.404318,51,659.748486
7061.516655,91,660.312114
355.007372,53,660.625945
800.511721,79,661.100503
169.520203,51,661.416993
7571.633067,131,662.205618
-248.836571,10,662.272078
8188.800357,217,663.589337
1477.821533,300,665.41037
681.382802,91,665.957047
-301.236625,8,666.009877
5957.612524,37,666.232411
492.020434,60,666.595566
5105.143929,13,666.68031
388.671825,49,666.975616
1023.190155,99,667.757596
385.506038,56,668.222353
8002.571227,194,669.364637
7535.905714,111,670.035532
1802.200903,300,671.855471
7911.388484,153,672.780744
7661.439228,285,674.487516
8191.639676,225,675.843889
2500.608149,193,677.003966
5934.339903,35,677.218383
346.780067,48,677.506627
276.795113,60,677.867717
7506.922961,213,679.139853
201.377672,34,679.341343
710.378912,75,679.777177
8175.411613,215,681.047776
284.214593,29,681.225275
5589.123943,29,681.401307
-340.524791,7,681.44537
1903.679033,300,683.219749
8033.014535,151,684.134564
153.454911,51,684.435736
-90.371804,17,684.536468
-371.567056,5,684.570348
6975.427867,104,685.332733
8026.96832,235,687.12594
6283.588312,75,687.672476
711.390379,78,688.202491
6420.584077,94,688.774931
797.510696,80,689.247771
604.05325,88,689.788218
2106.724498,188,690.924766
2145.353759,143,691.780574
93.283244,60,692.146386
2047.986057,199,693.34294
1795.513262,163,694.345718
1439.488289,101,694.953852
1503.753063,95,695.521438
2234.422896,191,696.704122
6593.224196,210,697.974248
-17.517838,19,698.089393
-358.763948,6,698.129169
1616.029285,94,698.688611
562.655136,42,698.946334
7565.076022,132,700.042182
-193.111176,34,700.248472
143.81221,30,700.43182
5907.93876,52,700.759696
7735.204126,155,701.692472
1931.912915,226,703.052143
7052.347218,94,703.618448
-38.441974,36,703.838681
6261.729146,49,704.132782
6974.355854,180,705.21712
577.502355,73,705.668312
7020.477965,99,706.260616
7623.021047,137,707.075476
5660.952276,32,707.264966
489.050575,61,707.630833
7104.846333,92,708.171767
2686.688609,300,709.947933
2230.297603,300,711.749992
-170.422703,30,711.93238
7346.631635,97,712.578446
-97.464175,14,712.678179
567.567489,42,712.930506
2549.367249,300,714.744669
148.863006,35,714.960264
583.435588,52,715.275843
15.538835,28,715.446425
2445.619301,256,716.991267
1704.908048,220,718.316683
2400.341858,252,719.875197
1766.197606,114,720.552904
2774.092595,214,721.837266
1946.118129,110,722.498771
2511.376989,159,723.456649
-312.849912,8,723.508521
2071.069278,143,724.365621
-208.442431,11,724.439246
2695.279273,233,725.843663
103.093404,88,726.384773
2254.811561,196,727.568029
1803.714771,212,728.878954
99.132113,40,729.127356
-381.305501,6,729.166832
5844.121146,123,729.947963
2362.262485,220,731.882357
2374.074256,181,732.970937
200.81524,30,733.166702
2540.071035,216,734.489171
591.399913,59,734.83724
184.471778,26,734.993945
7489.578748,105,735.646575
165.333254,27,735.812106
2261.434836,142,736.685088
7750.947621,237,738.092305
309.166958,43,738.359295
7698.551667,151,739.564503
-428.836957,27,739.725076
550.7478,56,740.100072
331.631355,33,740.297546
-343.188673,7,740.341971
610.292323,93,740.910512
7353.771454,141,741.775236
22.400041,31,741.963337
8071.806289,217,743.261292
6586.020833,64,743.642486
171.745373,26,743.80194
7337.076035,137,744.621121
1434.244737,256,746.430811
1650.175809,102,747.192773
7405.896195,150,748.466368
420.72164,35,748.746618
2142.347783,300,750.634429
-400.622898,17,750.739149
723.330787,93,751.297897
-239.705659,10,751.361713
1972.600823,191,752.518941
1291.550824,108,753.170889
8061.746669,221,754.506391
8177.235173,218,755.810374
6218.544112,215,757.096594
-113.697021,34,757.30379
1259.240037,98,757.880498
296.641696,34,758.084329
-53.432015,37,758.303276
415.952274,59,758.663264
477.673051,38,758.892576
285.648654,32,759.090739
6631.865583,103,759.716798
1536.430815,105,760.346172
-288.062117,9,760.403773
411.749261,34,760.613293
2304.223039,300,762.75853
2198.085996,162,763.711706
812.64867,122,764.453632
206.984661,28,764.634488
1951.366252,137,765.731943
1984.064292,163,766.692026
5836.773357,49,766.990337
72.17067,21,767.12368
1836.3165,106,767.774516
2253.891936,186,768.893282
2096.64967,272,770.550517
6155.640917,50,770.856009
1078.117885,73,771.300639
1054.373314,90,771.846409
171.291062,26,772.004839
547.953051,150,772.911846
964.769686,137,773.737698
1768.285138,263,775.330755
1245.564436,109,775.988627
-462.266293,18,776.101189
2407.216233,195,777.277842
2473.994079,197,778.450552
-31.794744,204,779.678627
2376.180116,170,780.702607
1431.231636,132,781.504876
2080.809163,201,782.711701
753.615894,68,783.129698
477.954831,72,783.558436
15.633309,27,783.717044
-223.417595,300,785.520755
2067.314801,218,786.825373
1057.318293,106,787.464688
274.041027,34,787.671274
7047.513285,110,788.340865
707.104848,56,788.667637
1756.421949,153,789.59281
2128.907828,227,791.130567
1210.552919,84,791.628803
-373.079382,14,791.713607
934.438041,130,792.493506
387.430942,300,794.294075
1133.6192,300,796.064342
1062.660339,79,796.712607
497.82513,266,798.439589
1067.38146,138,799.266346
91.050616,72,799.693202
541.774517,300,801.496054
-221.781623,300,803.356377
18.361609,300,805.270509
-84.396873,300,807.461652
139.132612,300,809.367471
1474.12393,208,810.623284
461.392902,62,810.989589
-536.464877,300,812.791708
1045.217748,300,814.563412
60.343889,300,816.354734
1791.662497,300,818.161057
2064.669075,300,819.973634
1033.298249,300,821.761902
1269.475854,192,822.908228
1685.371388,300,824.710761
1690.39384,300,826.518926
2098.462053,300,828.610688
1870.064952,300,830.428276
609.404474,300,832.230828
1095.232198,300,834.0313
2176.082874,300,835.831514
1978.752558,224,837.17153
1961.318779,259,838.732005
1817.933553,273,840.38412
1932.610771,300,842.203021
2081.146806,300,843.989812
1075.788948,300,845.788615
1606.250179,300,847.593372
1574.026319,300,849.393761
1474.590818,300,851.338749
1663.262405,300,853.129813
1718.295059,300,854.926611
1145.278058,300,856.72739
1772.769484,269,858.364121
1530.704042,230,860.086013
1354.937521,101,860.681867
1932.737356,148,861.572385
1582.112768,110,862.243623
1215.629116,102,862.851015
