#{"t_start": 1644493568.8420126, "env_id": "intersectionScenario-v0"}
r,l,t
-2775.076274,140,719.359522
264.130358,116,720.440564
-4644.270924,500,725.156821
-592.328777,26,725.396709
-3354.603461,372,728.962722
-944.119517,53,729.448984
-336.693328,34,729.766179
-231.787496,122,730.92638
958.957335,111,732.552148
-584.150118,72,733.242139
-1820.864578,95,734.134232
-716.278991,62,734.707807
2075.115794,135,735.986258
-3962.38599,500,740.69315
-21.430615,48,741.136849
-4500.77531,500,745.845878
-502.232946,161,747.360994
1851.098585,107,748.372082
-902.818649,39,748.728751
-916.651692,28,748.98524
270.255314,60,749.538189
2227.178972,172,751.177545
-746.587206,142,752.501055
-84.659295,62,753.068249
-629.455802,25,753.294942
-4398.591818,500,757.995175
-3411.608445,500,763.599206
120.748981,55,764.149142
-740.894698,27,764.40133
-1239.569759,79,765.16644
-3877.921587,473,769.889974
-1008.673915,94,770.764899
1407.693852,152,772.208732
-169.982612,26,772.455238
-267.686055,66,773.076784
-108.792622,40,773.449489
-4131.217632,180,775.091925
-4209.312106,500,779.801246
-15899.278502,443,783.788091
-3612.11572,500,788.502408
-655.914063,12,788.609803
15.398345,34,788.933499
-3481.128168,500,793.859331
-836.493738,35,794.230451
-3595.477202,500,799.152239
1195.707781,112,800.207496
-1194.070698,162,801.729652
-5204.904302,500,806.43205
-393.179622,33,806.740736
-4126.87638,500,811.4353
1719.738529,144,812.78184
-1105.768514,91,813.623208
-990.787995,120,814.727708
-3849.605889,500,819.584246
-984.909218,51,820.11383
727.774336,101,821.512091
-889.512654,71,822.545329
-517.512446,128,824.352497
-967.260849,73,825.362797
-704.32013,60,826.270369
-832.56851,60,827.152013
1851.629941,114,828.738769
-716.696426,136,830.188894
-29.175744,76,830.9718
1764.395914,131,832.827867
-2694.31297,90,833.659314
-2507.9993,170,835.21747
549.941712,115,836.286412
-4051.204299,500,841.017315
-3662.110188,500,845.735319
-4126.403684,500,850.466183
-1082.812705,145,851.908055
-675.083072,77,852.741601
-3370.019388,500,857.8586
-4136.601479,500,863.02231
-1228.434837,70,863.667274
-4015.310591,500,868.347621
-910.744623,48,868.801255
-569.931336,40,869.177617
-4265.524844,500,873.9595
158.71639,90,874.821089
-722.962836,16,874.970449
46.911734,100,875.902483
-316.895823,21,876.09743
-3627.189035,500,881.086316
-648.260046,41,881.598946
432.665788,80,882.552397
-209.380866,66,883.36323
-796.430358,56,883.882136
-5033.942373,500,888.677557
-3446.87472,500,893.676475
-6786.811135,500,898.403486
-5529.61829,287,901.064049
-973.378345,23,901.275773
471.518655,117,902.352286
879.095535,148,903.73824
-783.398529,57,904.269551
-856.265167,28,904.533247
-1086.198152,25,904.763209
1208.278961,158,906.252406
232.588763,89,907.087318
-4625.254216,500,911.78903
-419.969892,28,912.050134
-748.119273,19,912.225232
1399.030006,153,913.657033
-256.170833,52,914.151976
-428.869725,16,914.302231
-234.325528,49,914.759419
153.533195,80,915.536107
34.728239,66,916.162836
-386.040275,53,916.659209
-413.496382,53,917.161139
-1566.636081,101,918.100501
-1037.967764,193,919.937314
-559.554516,28,920.208959
-1492.203574,103,921.161798
-3316.91282,500,926.15782
2347.675569,143,927.529664
2693.391232,170,929.130093
-138.729214,32,929.431064
474.06348,67,930.058822
-3972.56191,500,934.787534
2626.993945,169,936.371097
-1059.335572,115,937.439243
-417.530642,79,938.178165
-687.436918,58,938.725896
-387.986415,57,939.26603
-337.793976,83,940.055061
-3695.706095,500,945.558499
-736.739682,26,945.801092
-197.563408,43,946.205085
-3465.582597,500,950.939664
2711.544118,163,952.494139
7.413404,67,953.126135
-259.141169,45,953.556216
-3906.120817,500,958.501476
-601.079764,24,958.721931
-828.586294,34,959.047696
1046.077381,152,960.475418
42.675612,46,960.907641
-4445.6226,500,965.61677
-3680.915942,500,970.305557
2799.427756,167,971.877596
-802.316586,31,972.157113
2877.189613,191,973.979077
-3061.531456,500,978.664955
-79.937182,98,979.58233
-73.452686,65,980.184317
128.596045,52,980.661799
2358.41047,168,982.248675
-518.349059,50,982.717607
-3159.417498,500,987.704643
172.608092,58,988.265427
-3682.591135,500,992.97829
-99.344236,104,993.962821
201.168736,89,994.831388
-947.318085,49,995.295438
-6219.318519,365,998.998812
-686.618928,46,999.43149
-1002.408489,33,999.736507
2653.697946,198,1002.09343
-456.208126,20,1002.354733
2102.739264,149,1003.946749
-3591.81416,500,1008.813952
-3678.750355,500,1013.693768
-3847.425892,444,1017.869085
-359.499991,19,1018.042192
-756.961901,38,1018.389605
186.80506,60,1018.940576
200.909519,83,1019.720592
1149.039551,133,1020.952004
-729.780538,21,1021.146479
-971.55763,26,1021.385793
1.107987,97,1022.295063
-2826.324492,367,1025.734816
2293.150483,168,1027.322369
365.840373,64,1027.924856
-1044.064431,39,1028.279474
-475.323172,26,1028.756716
-513.017514,41,1029.178675
-218.778398,29,1029.727397
-956.745179,57,1030.278992
2471.449535,151,1031.723031
1.222455,64,1032.489621
-790.402458,23,1032.777853
-524.867385,19,1032.95464
-950.867849,34,1033.269485
-493.408349,35,1033.603803
-577.880639,120,1034.973387
2748.108755,143,1036.363217
2624.739193,156,1038.073851
-3923.099117,472,1042.510975
-949.023257,25,1042.743019
-786.363278,20,1042.932669
-3736.580177,500,1047.626199
307.208173,83,1048.406434
-763.857551,33,1048.715724
-3858.591984,500,1053.411403
-371.721196,35,1053.742417
36.194907,62,1054.323917
-749.029213,19,1054.502903
-856.246123,29,1054.771408
-666.939325,88,1055.587512
-954.835061,26,1055.827588
325.109314,87,1056.646707
-879.138767,44,1057.059853
217.0571,88,1057.882998
-1150.835671,55,1058.390324
-670.529548,95,1059.284836
-802.479155,19,1059.465986
-736.114061,24,1059.688427
-304.445434,51,1060.162331
2113.812075,168,1062.152828
-230.537798,54,1062.782144
-41.284122,97,1063.894387
-4033.128448,500,1068.911476
243.665355,76,1069.620047
-3938.032748,500,1074.601969
-264.883856,20,1074.790707
-700.689523,40,1075.165558
-71.578034,117,1076.277119
2166.279688,139,1077.581473
-75.812602,100,1078.518016
522.22191,96,1079.413135
187.922542,74,1080.102097
-295.115433,56,1080.632255
-1107.49239,63,1081.224
-830.64056,21,1081.41401
-854.751957,23,1081.625205
-702.627399,20,1081.811962
-4717.952924,500,1086.521425
-838.797613,40,1086.897283
-931.039066,32,1087.221968
-954.545758,35,1087.558485
3073.802624,155,1089.022286
-4541.724806,339,1092.189323
-273.210731,43,1092.596047
2211.908667,174,1094.232697
-819.764711,32,1094.531049
-5330.009166,262,1096.942236
-3984.838974,500,1101.946888
-549.808577,103,1102.920085
-2388.411537,119,1104.019638
-691.790892,103,1104.977589
-5102.897182,500,1109.701087
202.595823,52,1110.191967
-692.99703,18,1110.356999
-388.755626,21,1110.551075
-495.736904,38,1110.908723
2979.528542,166,1112.468069
388.684929,57,1113.001458
-872.360691,32,1113.302402
-4752.846027,500,1118.018541
-619.535464,15,1118.162559
-25.87912,103,1119.113149
-771.886402,39,1119.47834
-548.799691,38,1119.832831
-430.80367,27,1120.08127
-112.73176,49,1120.629882
-463.814933,65,1121.472626
-796.672286,19,1121.698025
568.51342,78,1122.640505
-147.966334,37,1123.116235
-5733.750723,500,1128.048342
86.226539,51,1128.520412
-929.170681,61,1129.095953
160.253852,53,1129.597957
-326.342753,49,1130.070726
-720.454091,49,1130.538992
-4963.823973,363,1134.21026
-264.737616,53,1134.707575
-5443.123918,500,1139.427994
586.246302,116,1140.521301
-785.976788,31,1140.810187
-688.892381,49,1141.264068
3140.701576,157,1142.736323
-4282.965847,410,1146.574127
-264.655584,49,1147.049665
551.358644,137,1148.338156
-703.971393,46,1148.76733
-84.322643,29,1149.036129
-3318.137695,368,1152.478984
-33.555741,49,1152.932416
-4808.107405,388,1156.562922
3270.450147,162,1158.081766
-204.673896,79,1158.826339
2864.288464,164,1160.379447
2792.36285,178,1162.111482
439.243058,76,1162.844762
-4157.099374,500,1167.926995
178.421768,119,1169.054112
242.962218,101,1170.001797
-349.383208,52,1170.48472
195.626099,125,1171.659263
-5817.778441,500,1176.344731
-314.216089,87,1177.155092
-3927.215683,500,1182.300875
-608.780595,26,1182.600072
-17150.836389,500,1187.353738
-537.258584,39,1187.719183
131.601489,98,1188.646169
-846.882862,33,1188.952187
-71.580022,80,1189.696239
2634.070411,153,1191.210851
445.319135,85,1192.006012
-423.125206,48,1192.457264
1703.019552,154,1193.894744
-270.438115,48,1194.347144
-665.23873,19,1194.522749
277.822914,76,1195.264075
-713.307039,27,1195.512984
-119.698799,28,1195.76912
-157.3325,53,1196.265076
-319.024316,99,1197.201531
637.021868,124,1198.642024
-414.385708,67,1199.264743
-373.978712,68,1199.902595
-285.583328,75,1200.607179
110.480059,101,1201.547516
-95.907576,44,1201.955972
-1039.382127,43,1202.356106
-739.679316,19,1202.538398
114.238574,118,1203.646726
-805.157335,66,1204.269502
2014.991812,125,1205.439046
-245.884615,55,1205.951314
783.439932,98,1206.872232
-846.554378,25,1207.106389
-16.5918,90,1207.986876
-809.498874,85,1208.784036
-192.828795,47,1209.226802
-735.276006,63,1209.808469
-31.047849,38,1210.162761
-127.406101,39,1210.534229
-724.17244,16,1210.680712
-759.132927,99,1211.597064
-157.326774,45,1212.013272
-717.045503,13,1212.131173
-59.948669,60,1212.69873
286.025037,73,1213.393458
29.989668,82,1214.160493
242.748627,61,1214.743348
-533.397341,31,1215.023297
260.204955,85,1215.821682
1332.087622,195,1217.635728
-9.414416,82,1218.404406
2504.740393,189,1220.169349
-84.512492,57,1220.700372
1890.218129,139,1222.014911
22.865733,70,1222.696594
16.432926,79,1223.476591
-739.062945,30,1223.749234
-314.783348,36,1224.085124
27.401522,55,1224.609114
60.640082,66,1225.225574
-678.762048,19,1225.398663
