#{"t_start": 1642770742.7957847, "env_id": "twocarlanechangeScenario-v0"}
r,l,t
171.42246,148,319.310502
-386.763931,156,320.456625
67.190144,159,321.628189
131.726035,152,322.750268
170.399586,146,323.823408
79.26292,161,325.014727
74.247453,159,326.194969
-464.568513,118,327.068619
-684.95802,200,328.545966
95.794601,181,329.975674
-331.348678,83,330.770548
-456.558935,120,332.324394
-289.349249,78,333.013581
-603.582989,186,334.421737
157.691794,136,335.430047
153.216987,152,336.555651
153.552891,162,337.767328
-419.687292,156,338.918628
17.761748,166,340.149767
111.204573,138,341.188227
100.390423,157,342.346238
120.033164,153,343.463752
225.7435,141,344.501262
99.516427,170,345.764412
26.224654,171,347.037015
103.995291,138,348.432164
-295.046252,138,349.716731
122.668566,150,351.002065
79.789182,147,352.105727
30.529074,159,353.273815
133.552587,137,354.510535
-323.781546,143,355.568994
150.900356,141,356.62108
86.652232,168,357.857937
-418.508943,107,358.653763
-437.845861,131,359.62281
47.182321,160,360.805762
-333.204852,136,361.828467
132.691181,136,362.832304
15.030677,177,364.146105
98.230878,141,365.18754
-239.956613,72,365.725766
-339.739273,89,366.409571
-247.489954,130,367.372193
-274.940787,128,368.31676
28.197951,178,369.630627
101.798585,142,370.681191
86.312105,154,371.828403
-350.76345,128,372.775377
97.565375,160,374.051899
-428.894559,124,375.070177
-390.177647,152,376.248521
163.414837,134,377.233474
-264.441719,63,377.699404
-300.376094,132,378.673662
96.534478,162,379.860867
175.584585,143,380.923506
-396.364146,163,382.129325
-470.404875,128,383.080096
-466.280971,136,384.101467
95.871401,160,385.274042
86.991855,154,386.473169
-356.308619,152,387.711113
-373.277121,131,388.699383
171.69767,143,389.760639
102.974022,151,390.880083
-422.711217,113,391.718351
-324.97596,147,392.804305
156.091795,146,393.877144
-332.799662,132,394.860413
-399.18626,102,395.610145
102.755537,143,396.679162
-309.372399,87,397.326513
202.457321,136,398.34674
-298.611881,141,399.386876
15.537066,167,400.618938
-382.362822,115,401.47857
138.966403,141,402.53209
-241.631007,69,403.043068
15.12996,175,404.339826
-308.543861,133,405.332229
188.742762,143,406.408291
-259.715005,60,406.851978
161.00518,142,408.310127
-303.285576,137,409.584719
116.373594,154,410.880804
-424.565324,157,412.060141
-261.507251,139,413.082239
101.042809,161,414.308797
-222.549774,55,414.716517
81.103002,156,415.873848
51.542267,157,417.036818
113.051179,154,418.168522
-782.130496,200,419.657954
185.558012,135,420.655761
128.786254,128,421.600026
187.857693,134,422.59029
160.338822,129,423.530875
-232.710009,155,424.678471
-379.449712,101,425.425928
-319.16286,128,426.373145
111.091958,143,427.427983
143.73284,151,428.543143
56.909208,159,429.726061
130.925498,145,430.811985
-276.076798,67,431.308653
232.034758,142,432.356324
116.457441,152,433.476879
-267.218307,156,434.653154
-191.57176,34,434.906169
187.785555,136,435.906713
-307.122052,79,436.498213
146.383271,142,437.537793
-303.138339,153,438.670949
128.208791,150,439.78787
-322.378445,77,440.359352
138.860168,140,441.39406
50.309018,158,442.559315
-457.694257,167,443.788595
54.49433,153,444.938036
-410.123962,115,445.790946
-437.155089,113,446.621659
-347.193741,100,447.371942
-331.407791,94,448.07019
80.771189,161,449.257601
8.089837,172,450.521883
178.581842,137,451.52357
173.124175,137,452.531096
-435.029598,158,453.693776
222.483989,134,454.703132
27.967816,159,455.882105
82.862732,155,457.031794
178.834322,124,457.96418
18.317469,169,459.206309
52.289052,164,460.412649
138.994451,136,461.434881
155.469725,140,462.491182
128.008163,144,463.557888
174.944751,157,464.720541
-442.466774,129,465.674831
104.902858,159,466.857749
56.217853,150,468.261839
149.793316,137,469.576323
176.565624,129,470.74819
-473.724854,132,471.741552
163.828596,134,472.748416
-39.269136,173,474.026449
-416.07817,185,475.392274
119.973221,154,476.535348
113.987969,146,477.614249
