#{"t_start": 1642538009.808362, "env_id": "lanechangeScenario-v0"}
r,l,t
566.189922,172,147.310014
553.967646,243,147.996133
560.357715,146,148.555546
551.481664,160,149.035651
566.924492,200,149.583597
555.10974,198,150.053675
562.089273,203,150.639185
554.079105,174,151.187275
548.616208,192,151.88894
558.812329,178,152.305613
564.879108,223,152.922791
560.009343,197,153.508413
544.338861,209,154.147282
557.197892,191,154.748806
-13.572704,400,155.850948
563.958775,194,156.468042
551.982238,174,156.953623
554.757146,185,157.501614
563.579269,194,158.071796
568.328401,174,158.60421
559.369095,189,159.17442
549.553906,227,159.775862
568.070241,189,160.261507
560.233059,219,161.056981
559.459783,199,161.664819
-109.816755,42,161.796313
557.628964,169,162.228533
550.388565,213,162.745076
565.16831,162,163.199433
-15.263882,400,164.50244
67.284462,400,165.520363
544.291323,121,165.890103
33.711122,400,167.193295
540.067432,216,167.678554
552.041365,152,168.110802
561.42666,182,168.658555
563.01184,139,169.112918
546.953068,177,169.729909
540.303316,153,170.099704
543.949263,172,170.547586
-102.8153,11,170.6038
565.303481,144,171.048612
553.437009,121,171.433802
567.933103,188,171.9884
558.924572,156,172.520915
554.729151,181,172.99094
540.808799,177,173.507626
549.644859,190,174.109081
542.051441,176,174.610296
556.206237,182,175.095988
564.95482,160,175.597041
565.459773,164,176.076151
541.633479,137,176.498851
539.341215,161,177.00006
555.356545,187,177.516768
550.26177,145,177.848829
540.61573,148,178.249808
569.470401,158,178.835572
540.591241,164,179.336577
546.860881,158,179.800047
564.882539,151,180.254419
546.033162,148,180.608187
543.455629,143,181.087277
549.010613,197,182.058406
556.297611,158,182.690703
560.84597,141,183.214068
566.193353,149,183.761582
553.707562,196,184.463325
565.107141,162,184.996276
545.642999,144,185.412665
546.043179,127,185.867011
545.292742,145,186.221126
-111.870229,125,186.599972
559.698397,169,187.139488
561.04447,166,187.640648
556.447646,138,188.057236
550.298851,177,188.618721
547.159933,135,189.059471
547.145413,173,189.5762
550.606746,174,190.130784
558.897492,166,190.631768
547.041798,205,191.126591
544.920503,133,191.49595
540.4946,132,192.034913
546.093703,136,192.451509
545.264269,126,192.83686
540.566821,130,193.184465
552.70971,169,193.585476
542.611948,115,193.886238
544.2991,138,194.287227
547.785972,163,194.91994
540.641653,175,195.474383
556.210208,160,195.9066
557.358653,142,196.238665
563.91898,141,196.64614
547.198541,167,197.147357
540.396172,149,197.610687
542.364893,135,198.149664
561.41619,153,198.528531
553.436308,142,198.882643
546.935511,143,199.283581
557.194694,140,199.70017
552.637976,157,200.232655
542.103448,152,200.656238
549.571175,149,201.135442
541.751975,171,201.558419
548.158956,168,202.059633
542.75536,160,202.560849
-124.403396,196,203.124549
-104.142163,57,203.278034
544.655372,157,203.663033
548.20883,141,204.157748
545.775474,174,204.658986
543.581756,203,205.282098
555.052619,124,205.629328
554.083822,130,205.983441
554.28621,135,206.299946
539.905179,130,206.747623
-108.760331,121,207.101739
558.263472,165,207.633841
556.377726,126,208.003593
547.060408,178,208.504795
559.865785,184,208.921293
536.45495,121,209.270643
546.962802,143,209.791991
532.269079,141,210.255446
544.144638,152,210.725412
548.888609,187,211.295626
536.666243,170,211.728026
554.425849,167,212.213669
543.202433,141,212.619224
546.917081,118,213.100317
-84.821633,400,214.149338
542.811571,134,214.55032
542.338728,193,215.104923
542.734228,170,215.652844
544.741289,162,216.207435
547.312151,153,216.57065
546.982897,139,216.971642
543.101912,118,217.309782
539.73051,149,217.788459
528.59558,115,218.14257
543.470555,130,218.512299
543.409908,173,219.013648
538.290952,142,219.414429
536.24148,178,219.931264
549.031426,131,220.337474
553.981777,144,220.748573
539.193969,160,221.196418
553.147501,128,221.503398
549.768732,131,222.135868
543.316478,147,222.605791
545.640167,146,223.069265
544.130228,143,223.50773
-40.986844,400,224.688632
541.672794,141,225.230558
547.426596,178,225.907132
-15.940718,400,227.115991
